Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,56.040001,56.189999,55.419998,55.480000,52.345066,27334100
2016-01-04,54.320000,54.799999,53.389999,54.799999,51.703487,53778000
2016-01-05,54.930000,55.389999,54.540001,55.049999,51.939362,34079700
2016-01-06,54.320000,54.400002,53.639999,54.049999,50.995865,39518900
2016-01-07,52.700001,53.490002,52.070000,52.169998,49.222095,56564900
2016-01-08,52.369999,53.279999,52.150002,52.330002,49.373062,48754000
2016-01-11,52.509998,52.849998,51.459999,52.299999,49.344746,36663600
2016-01-12,52.759998,53.099998,52.060001,52.779999,49.797626,36095500
2016-01-13,53.799999,54.070000,51.299999,51.639999,48.722046,66883600
2016-01-14,52.000000,53.419998,51.570000,53.110001,50.108986,52381900
2016-01-15,51.310001,51.970001,50.340000,50.990002,48.108776,71820700
2016-01-19,51.480000,51.680000,50.060001,50.560001,47.703075,43564500
2016-01-20,49.980000,51.380001,49.099998,50.790001,47.920078,63273000
2016-01-21,51.000000,51.580002,50.299999,50.480000,47.627583,40191200
2016-01-22,51.410000,52.330002,51.259998,52.290001,49.335320,37555800
2016-01-25,51.939999,52.650002,51.650002,51.790001,48.863567,34707700
2016-01-26,51.790001,52.439999,51.549999,52.169998,49.222095,28699500
2016-01-27,52.009998,52.200001,51.020000,51.220001,48.325783,36775200
2016-01-28,51.860001,52.209999,51.250000,52.060001,49.118313,62513800
2016-01-29,54.730000,55.090000,54.000000,55.090000,51.977104,83611700
2016-02-01,54.880001,55.090000,54.500000,54.709999,51.618568,44208500
2016-02-02,54.169998,54.259998,52.650002,53.000000,50.005196,56313800
2016-02-03,53.250000,53.389999,51.259998,52.160000,49.212662,57559800
2016-02-04,52.099998,52.810001,51.369999,52.000000,49.061703,46803400
2016-02-05,51.939999,52.000000,49.560001,50.160000,47.325676,62009000
2016-02-08,49.549999,49.570000,48.189999,49.410000,46.618050,59290500
2016-02-09,49.020000,50.240002,48.669998,49.279999,46.495396,45822200
2016-02-10,49.889999,50.389999,49.520000,49.709999,46.901100,38237000
2016-02-11,48.680000,50.110001,48.509998,49.689999,46.882233,48878600
2016-02-12,50.250000,50.680000,49.750000,50.500000,47.646461,34243300
2016-02-16,50.900002,51.090000,50.130001,51.090000,48.549217,37291200
2016-02-17,51.490002,52.770000,51.450001,52.419998,49.813076,40789000
2016-02-18,52.330002,52.950001,52.099998,52.189999,49.594509,27176000
2016-02-19,51.970001,52.279999,51.529999,51.820000,49.242912,33559100
2016-02-22,52.279999,53.000000,52.279999,52.650002,50.031635,25008300
2016-02-23,52.340000,52.369999,50.980000,51.180000,48.634743,28895300
2016-02-24,50.689999,51.500000,50.200001,51.360001,48.805786,33014500
2016-02-25,51.730000,52.099998,50.610001,52.099998,49.508987,26695900
2016-02-26,52.599998,52.680000,51.099998,51.299999,48.748772,35975900
2016-02-29,51.349998,51.650002,50.660000,50.880001,48.349659,31654000
2016-03-01,50.970001,52.590000,50.919998,52.580002,49.965118,33024500
2016-03-02,52.410000,52.959999,52.160000,52.950001,50.316715,29289900
2016-03-03,52.970001,52.970001,51.779999,52.349998,49.746555,24418100
2016-03-04,52.400002,52.450001,51.709999,52.029999,49.442467,33034200
2016-03-07,51.560001,51.799999,50.580002,51.029999,48.492199,38407800
2016-03-08,50.799999,52.130001,50.599998,51.650002,49.081371,33835100
2016-03-09,51.889999,52.849998,51.860001,52.840000,50.212196,28251600
2016-03-10,52.930000,52.939999,51.160000,52.049999,49.461475,38384200
2016-03-11,53.000000,53.070000,52.380001,53.070000,50.430748,32275700
2016-03-14,52.709999,53.590000,52.630001,53.169998,50.525776,24083600
2016-03-15,52.750000,53.590000,52.740002,53.590000,50.924885,21104800
2016-03-16,53.450001,54.599998,53.400002,54.349998,51.647087,31691700
2016-03-17,54.209999,55.000000,54.000000,54.660000,51.941669,28223900
2016-03-18,54.919998,54.970001,53.450001,53.490002,50.829861,67625500
2016-03-21,53.250000,53.930000,52.930000,53.860001,51.181461,23925700
2016-03-22,53.610001,54.250000,53.459999,54.070000,51.381012,23124100
2016-03-23,54.110001,54.240002,53.740002,53.970001,51.285988,20129000
2016-03-24,53.840000,54.330002,53.730000,54.209999,51.514057,19950000
2016-03-28,54.209999,54.290001,53.330002,53.540001,50.877377,17025100
2016-03-29,53.660000,54.860001,53.450001,54.709999,51.989182,23375000
2016-03-30,54.930000,55.639999,54.900002,55.049999,52.312279,23008300
2016-03-31,54.950001,55.590000,54.860001,55.230000,52.483330,26360500
2016-04-01,55.049999,55.610001,54.570000,55.570000,52.806423,24399200
2016-04-04,55.430000,55.660000,55.000000,55.430000,52.673382,18928800
2016-04-05,55.189999,55.299999,54.459999,54.560001,51.846645,19272300
2016-04-06,54.360001,55.200001,54.209999,55.119999,52.378792,21032100
2016-04-07,54.869999,54.910000,54.230000,54.459999,51.751617,19225100
2016-04-08,54.669998,55.279999,54.320000,54.419998,51.713608,22167200
